1;
11;40;
11;42;
11;31;
11;20;
11;29;30;
11;1;30;
11;45;
11;1;49;
12;
12;15;
12;20;
12;22;
12;24;
12;37;
12;41;
12;48;
12;50;
12;10;
12;14;
12;1;
12;26;
12;44;
12;46;
12;32;
12;3;
12;34;
12;21;
12;42;
12;39;
12;43;
12;18;
12;16;
12;35;
12;29;
12;40;
12;30;
12;25;
12;28;
12;31;
12;36;
12;19;
12;45;
12;17;
12;11;
12;49;
13;
13;10;
13;11;
13;16;
13;18;
13;24;
13;39;
13;41;
13;42;
13;43;
13;44;
13;36;
13;15;
13;14;
13;1;
13;34;
13;31;
13;40;
13;28;
13;35;
13;19;
13;29;
13;37;
13;46;
13;26;
13;30;
13;17;
13;25;
13;22;
13;45;
13;3;
13;48;
13;32;
13;20;
13;49;
13;50;
14;
14;1;
14;24;
14;29;
14;30;
14;45;
14;48;
14;49;
14;50;
14;1;29;
14;29;30;
14;1;30;
14;30;48;
14;29;48;
14;1;48;
14;29;45;
14;1;45;
14;45;30;
14;45;48;
14;1;49;
14;49;29;
14;49;30;
14;49;45;
14;49;48;
14;24;1;
14;24;29;
14;24;30;
14;24;48;
14;24;45;
14;24;49;
14;50;1;
14;50;29;
14;50;30;
14;50;45;
14;50;48;
14;50;49;
14;50;24;
15;
15;1;
15;14;
15;24;
15;29;
15;30;
15;41;
15;45;
15;48;
15;49;
15;50;
15;1;14;
15;14;41;
15;1;41;
15;29;14;
15;1;29;
15;29;41;
15;29;30;
15;1;30;
15;30;41;
15;29;45;
15;1;45;
15;45;41;
15;45;30;
15;30;48;
15;45;48;
15;29;48;
15;1;48;
15;48;41;
15;48;14;
15;45;14;
15;30;14;
15;49;14;
15;1;49;
15;49;29;
15;49;30;
15;49;45;
15;49;41;
15;49;48;
15;24;14;
15;24;1;
15;24;29;
15;24;30;
15;24;41;
15;24;45;
15;24;48;
15;24;49;
15;50;14;
15;50;1;
15;50;41;
15;50;29;
15;50;30;
15;50;45;
15;50;48;
15;50;49;
15;50;24;
16;
16;1;
16;14;
16;15;
16;24;
16;29;
16;30;
16;40;
16;41;
16;45;
16;48;
16;49;
16;50;
16;14;15;
16;1;15;
16;1;14;
16;14;40;
16;1;40;
16;41;15;
16;14;41;
16;1;41;
16;15;40;
16;29;40;
16;29;15;
16;29;14;
16;1;29;
16;29;41;
16;41;40;
16;30;14;
16;29;30;
16;1;30;
16;30;41;
16;30;15;
16;30;48;
16;29;48;
16;1;48;
16;48;41;
16;45;41;
16;45;14;
16;29;45;
16;1;45;
16;45;15;
16;45;30;
16;45;40;
16;48;40;
16;48;14;
16;45;48;
16;30;40;
16;48;15;
16;49;15;
16;49;14;
16;1;49;
16;49;41;
16;49;40;
16;49;29;
16;49;30;
16;49;45;
16;49;48;
16;24;15;
16;24;14;
16;24;1;
16;24;40;
16;24;29;
16;24;30;
16;24;41;
16;24;48;
16;24;45;
16;24;49;
16;50;40;
16;50;15;
16;50;14;
16;50;1;
16;50;41;
16;50;29;
16;50;30;
16;50;48;
16;50;45;
16;50;49;
16;50;24;
17;
17;10;
17;11;
17;14;
17;15;
17;20;
17;24;
17;25;
17;26;
17;34;
17;39;
17;41;
17;44;
17;48;
17;49;
17;50;
17;1;
17;28;
17;22;
17;16;
17;31;
17;35;
17;43;
17;32;
17;18;
17;46;
17;36;
17;40;
17;42;
17;29;
17;30;
17;29;30;
17;1;30;
17;30;14;
17;45;
17;45;30;
17;29;48;
17;24;1;
17;24;29;
17;24;49;
18;
18;1;
18;14;
18;15;
18;16;
18;22;
18;24;
18;26;
18;29;
18;30;
18;31;
18;32;
18;34;
18;35;
18;36;
18;40;
18;41;
18;44;
18;45;
18;48;
18;49;
18;50;
18;15;34;
18;14;15;
18;1;34;
18;1;15;
18;1;14;
18;1;22;
18;14;40;
18;15;44;
18;15;36;
18;15;16;
18;29;15;
18;29;14;
18;1;29;
18;29;36;
18;41;22;
18;41;16;
18;41;40;
18;14;16;
18;14;41;
18;29;16;
18;29;41;
18;1;41;
18;29;26;
18;30;36;
18;30;14;
18;29;30;
18;1;30;
18;30;34;
18;30;16;
18;30;41;
18;41;15;
18;30;15;
18;48;41;
18;30;48;
18;29;48;
18;1;48;
18;45;41;
18;45;14;
18;45;30;
18;29;45;
18;1;45;
18;45;34;
18;48;15;
18;48;14;
18;45;15;
18;45;48;
18;48;22;
18;41;36;
18;45;36;
18;48;36;
18;49;35;
18;49;36;
18;49;15;
18;49;14;
18;1;49;
18;49;31;
18;49;22;
18;49;34;
18;49;44;
18;49;32;
18;49;29;
18;49;16;
18;49;30;
18;49;41;
18;49;48;
18;49;45;
18;24;34;
18;24;14;
18;24;1;
18;24;31;
18;24;35;
18;24;15;
18;24;16;
18;24;29;
18;24;30;
18;24;48;
18;24;41;
18;24;45;
18;24;40;
18;24;49;
18;50;16;
18;50;40;
18;50;15;
18;50;14;
18;50;1;
18;50;29;
18;50;30;
18;50;35;
18;50;44;
18;50;41;
18;50;45;
18;50;48;
18;50;34;
18;50;49;
18;50;24;
19;
19;18;
19;22;
19;28;
19;30;
19;35;
19;42;
19;44;
19;48;
19;10;
19;1;
19;25;
19;20;
19;43;
19;32;
19;40;
19;15;
19;14;
19;17;
19;34;
19;46;
19;41;
19;3;
19;11;
19;39;
19;16;
19;26;
19;31;
19;29;
19;36;
19;45;
19;49;
19;24;
19;50;
20;
20;1;
20;10;
20;14;
20;16;
20;18;
20;22;
20;26;
20;29;
20;32;
20;36;
20;40;
20;41;
20;43;
20;44;
20;46;
20;48;
20;49;
20;50;
20;34;
20;15;
20;1;15;
20;31;
20;42;
20;35;
20;39;
20;1;29;
20;30;
20;29;16;
20;29;44;
20;45;
20;29;45;
20;1;45;
20;45;30;
20;29;48;
20;1;49;
20;49;29;
20;49;30;
20;49;48;
20;24;
20;24;1;
20;24;44;
20;24;40;
20;24;48;
20;24;30;
20;24;45;
20;24;49;
20;50;1;
20;50;16;
20;50;15;
20;50;45;
20;50;48;
20;50;30;
20;50;49;
20;50;24;
21;
21;1;
21;16;
21;17;
21;24;
21;25;
21;26;
21;31;
21;35;
21;40;
21;44;
21;48;
21;49;
21;50;
21;42;
21;32;
21;22;
21;15;
21;14;
21;3;
21;39;
21;18;
21;37;
21;34;
21;36;
21;20;
21;41;
21;19;
21;11;
21;46;
21;43;
21;10;
21;29;
21;28;
21;30;
21;45;
21;50;49;
22;
22;1;
22;14;
22;15;
22;16;
22;24;
22;29;
22;30;
22;34;
22;35;
22;36;
22;40;
22;41;
22;44;
22;45;
22;48;
22;49;
22;50;
22;14;15;
22;1;15;
22;1;14;
22;16;44;
22;15;44;
22;14;44;
22;1;44;
22;14;34;
22;1;34;
22;15;35;
22;14;35;
22;1;35;
22;14;40;
22;1;40;
22;1;36;
22;36;35;
22;14;41;
22;1;41;
22;15;36;
22;40;16;
22;29;15;
22;29;14;
22;1;29;
22;29;41;
22;41;16;
22;41;40;
22;29;16;
22;30;14;
22;29;30;
22;1;30;
22;41;34;
22;30;36;
22;30;41;
22;29;36;
22;48;34;
22;30;48;
22;29;48;
22;1;48;
22;41;44;
22;29;44;
22;29;45;
22;1;45;
22;48;15;
22;30;15;
22;45;15;
22;45;48;
22;45;30;
22;48;14;
22;48;40;
22;48;41;
22;48;44;
22;30;40;
22;45;14;
22;45;35;
22;45;34;
22;45;36;
22;45;40;
22;45;41;
22;45;16;
22;45;44;
22;49;15;
22;49;14;
22;1;49;
22;49;16;
22;49;29;
22;49;44;
22;49;36;
22;49;41;
22;49;30;
22;49;48;
22;49;45;
22;24;15;
22;24;1;
22;24;34;
22;24;35;
22;24;36;
22;24;40;
22;24;44;
22;24;16;
22;24;14;
22;24;29;
22;24;41;
22;24;30;
22;24;45;
22;24;48;
22;24;49;
22;50;40;
22;50;14;
22;50;1;
22;50;35;
22;50;34;
22;50;36;
22;50;41;
22;50;15;
22;50;44;
22;50;29;
22;50;48;
22;50;30;
22;50;16;
22;50;45;
22;50;49;
22;50;24;
23;
24;
24;50;
25;
25;1;
25;10;
25;14;
25;16;
25;18;
25;26;
25;30;
25;34;
25;39;
25;41;
25;43;
25;44;
25;46;
25;49;
25;28;
25;42;
25;31;
25;32;
25;22;
25;15;
25;1;14;
25;20;
25;40;
25;36;
25;35;
25;29;
25;1;29;
25;11;
25;29;36;
25;29;16;
25;45;
25;45;41;
25;48;
25;29;48;
25;1;48;
25;49;16;
25;49;29;
25;24;
25;24;1;
25;50;
25;50;49;
25;50;24;
26;
26;1;
26;14;
26;15;
26;16;
26;22;
26;24;
26;29;
26;30;
26;31;
26;32;
26;34;
26;35;
26;36;
26;40;
26;41;
26;44;
26;45;
26;48;
26;49;
26;50;
26;14;15;
26;1;15;
26;1;14;
26;15;22;
26;14;44;
26;1;22;
26;1;44;
26;1;36;
26;41;16;
26;14;41;
26;1;16;
26;1;41;
26;41;31;
26;1;35;
26;41;36;
26;16;34;
26;16;44;
26;15;36;
26;29;14;
26;1;29;
26;29;32;
26;29;22;
26;29;15;
26;30;15;
26;29;30;
26;1;30;
26;29;16;
26;48;41;
26;30;41;
26;29;31;
26;29;41;
26;29;48;
26;1;48;
26;29;34;
26;29;44;
26;29;40;
26;29;45;
26;1;45;
26;45;40;
26;45;41;
26;48;14;
26;41;15;
26;30;14;
26;48;40;
26;41;40;
26;45;15;
26;45;36;
26;45;30;
26;45;48;
26;49;31;
26;49;14;
26;1;49;
26;49;44;
26;49;36;
26;49;40;
26;49;15;
26;49;16;
26;49;29;
26;49;34;
26;49;30;
26;49;45;
26;49;41;
26;49;48;
26;24;15;
26;24;14;
26;24;1;
26;24;16;
26;24;34;
26;24;36;
26;24;32;
26;24;44;
26;24;29;
26;24;41;
26;24;30;
26;24;48;
26;24;45;
26;24;31;
26;24;40;
26;24;49;
26;50;36;
26;50;1;
26;50;40;
26;50;15;
26;50;29;
26;50;34;
26;50;44;
26;50;30;
26;50;31;
26;50;41;
26;50;16;
26;50;45;
26;50;48;
26;50;49;
26;50;24;
27;
27;24;
27;41;
27;1;
27;29;
27;40;
27;49;
27;50;
28;
28;1;
28;14;
28;15;
28;16;
28;18;
28;20;
28;24;
28;26;
28;30;
28;34;
28;35;
28;36;
28;39;
28;40;
28;41;
28;42;
28;43;
28;44;
28;46;
28;49;
28;50;
28;22;
28;1;16;
28;1;15;
28;31;
28;32;
28;10;
28;29;
28;1;30;
28;48;
28;45;
28;45;36;
28;1;45;
28;45;30;
28;49;14;
28;1;49;
28;49;45;
28;49;48;
28;50;1;
28;50;36;
28;50;30;
28;50;45;
28;50;48;
28;50;49;
28;50;24;
29;
29;1;
29;24;
29;49;
29;50;
29;1;49;
29;24;1;
29;24;49;
29;50;1;
29;50;49;
29;50;24;
30;
30;1;
30;24;
30;29;
30;45;
30;49;
30;50;
30;1;29;
30;29;45;
30;1;45;
30;49;29;
30;1;49;
30;49;45;
30;24;29;
30;24;1;
30;24;45;
30;24;49;
30;50;29;
30;50;1;
30;50;45;
30;50;49;
30;50;24;
31;
31;1;
31;14;
31;15;
31;16;
31;22;
31;24;
31;29;
31;30;
31;32;
31;34;
31;35;
31;36;
31;40;
31;41;
31;44;
31;45;
31;48;
31;49;
31;50;
31;15;32;
31;15;22;
31;1;22;
31;1;15;
31;1;14;
31;1;36;
31;1;16;
31;1;44;
31;14;40;
31;1;40;
31;41;16;
31;1;41;
31;16;32;
31;15;16;
31;15;36;
31;15;44;
31;44;22;
31;16;44;
31;29;15;
31;1;29;
31;29;44;
31;29;34;
31;44;34;
31;41;44;
31;29;16;
31;29;41;
31;29;40;
31;29;30;
31;1;30;
31;30;41;
31;48;41;
31;30;16;
31;30;48;
31;29;48;
31;1;48;
31;45;16;
31;45;15;
31;29;45;
31;41;15;
31;45;44;
31;45;41;
31;48;15;
31;48;14;
31;48;32;
31;48;44;
31;48;40;
31;29;35;
31;41;40;
31;48;34;
31;30;15;
31;40;44;
31;45;30;
31;45;48;
31;49;40;
31;49;15;
31;49;14;
31;1;49;
31;49;16;
31;49;44;
31;49;29;
31;49;41;
31;49;45;
31;49;48;
31;24;35;
31;24;1;
31;24;34;
31;24;16;
31;24;15;
31;24;36;
31;24;22;
31;24;29;
31;24;30;
31;24;41;
31;24;40;
31;24;45;
31;24;48;
31;24;49;
31;50;16;
31;50;40;
31;50;15;
31;50;14;
31;50;1;
31;50;35;
31;50;36;
31;50;44;
31;50;22;
31;50;29;
31;50;41;
31;50;30;
31;50;48;
31;50;34;
31;50;45;
31;50;49;
31;50;24;
32;
32;1;
32;14;
32;15;
32;16;
32;22;
32;24;
32;29;
32;30;
32;34;
32;35;
32;36;
32;40;
32;41;
32;44;
32;45;
32;48;
32;49;
32;50;
32;16;44;
32;15;22;
32;15;44;
32;15;16;
32;14;44;
32;14;16;
32;14;15;
32;1;22;
32;1;44;
32;1;16;
32;1;15;
32;1;14;
32;15;34;
32;1;34;
32;15;40;
32;1;40;
32;14;41;
32;1;36;
32;1;41;
32;36;34;
32;15;36;
32;29;44;
32;29;15;
32;29;14;
32;1;29;
32;29;16;
32;29;36;
32;29;34;
32;29;22;
32;29;35;
32;30;16;
32;30;14;
32;29;30;
32;1;30;
32;30;15;
32;45;16;
32;45;15;
32;29;45;
32;1;45;
32;45;34;
32;41;16;
32;45;44;
32;48;14;
32;29;48;
32;1;48;
32;48;34;
32;48;44;
32;48;40;
32;30;44;
32;30;36;
32;30;34;
32;41;15;
32;45;14;
32;45;36;
32;45;30;
32;48;41;
32;30;48;
32;45;48;
32;48;15;
32;48;16;
32;49;15;
32;49;14;
32;1;49;
32;49;16;
32;49;36;
32;49;35;
32;49;29;
32;49;48;
32;49;30;
32;49;41;
32;49;45;
32;24;34;
32;24;16;
32;24;15;
32;24;1;
32;24;40;
32;24;22;
32;24;44;
32;24;14;
32;24;29;
32;24;41;
32;24;30;
32;24;35;
32;24;45;
32;24;48;
32;24;49;
32;50;34;
32;50;15;
32;50;14;
32;50;1;
32;50;44;
32;50;16;
32;50;41;
32;50;22;
32;50;35;
32;50;29;
32;50;40;
32;50;45;
32;50;30;
32;50;48;
32;50;36;
32;50;49;
32;50;24;
33;
34;
34;1;
34;14;
34;15;
34;16;
34;24;
34;29;
34;30;
34;36;
34;40;
34;41;
34;44;
34;45;
34;48;
34;49;
34;50;
34;15;44;
34;15;16;
34;14;44;
34;14;16;
34;14;15;
34;1;44;
34;1;16;
34;1;15;
34;1;14;
34;15;40;
34;14;40;
34;1;40;
34;14;36;
34;1;36;
34;36;44;
34;14;41;
34;1;41;
34;41;44;
34;15;36;
34;29;14;
34;1;29;
34;29;36;
34;41;16;
34;29;44;
34;29;16;
34;29;41;
34;29;15;
34;30;16;
34;30;41;
34;30;14;
34;29;30;
34;1;30;
34;30;36;
34;30;44;
34;48;14;
34;30;48;
34;29;48;
34;1;48;
34;48;16;
34;29;40;
34;45;14;
34;29;45;
34;1;45;
34;45;40;
34;45;16;
34;45;41;
34;45;15;
34;45;30;
34;41;40;
34;41;15;
34;48;40;
34;48;15;
34;48;41;
34;45;48;
34;40;44;
34;48;44;
34;30;15;
34;30;40;
34;48;36;
34;45;36;
34;45;44;
34;49;40;
34;49;15;
34;49;14;
34;1;49;
34;49;44;
34;49;41;
34;49;36;
34;49;16;
34;49;29;
34;49;30;
34;49;45;
34;49;48;
34;24;16;
34;24;14;
34;24;1;
34;24;40;
34;24;41;
34;24;15;
34;24;36;
34;24;29;
34;24;30;
34;24;45;
34;24;48;
34;24;44;
34;24;49;
34;50;15;
34;50;14;
34;50;1;
34;50;36;
34;50;41;
34;50;44;
34;50;16;
34;50;29;
34;50;45;
34;50;30;
34;50;40;
34;50;48;
34;50;49;
34;50;24;
35;
35;1;
35;14;
35;15;
35;16;
35;24;
35;29;
35;30;
35;34;
35;36;
35;40;
35;41;
35;44;
35;45;
35;48;
35;49;
35;50;
35;16;34;
35;16;44;
35;15;16;
35;14;34;
35;14;16;
35;14;15;
35;1;34;
35;1;44;
35;1;16;
35;1;15;
35;1;14;
35;15;40;
35;14;40;
35;1;40;
35;36;34;
35;14;36;
35;1;36;
35;14;41;
35;1;41;
35;16;36;
35;15;36;
35;40;36;
35;29;14;
35;1;29;
35;41;15;
35;29;15;
35;29;41;
35;29;30;
35;1;30;
35;41;36;
35;30;41;
35;29;34;
35;48;16;
35;30;16;
35;30;48;
35;29;16;
35;29;48;
35;1;48;
35;40;16;
35;41;40;
35;29;40;
35;29;44;
35;45;16;
35;29;45;
35;1;45;
35;45;36;
35;48;41;
35;45;41;
35;45;48;
35;45;30;
35;48;15;
35;48;14;
35;48;40;
35;30;15;
35;30;14;
35;30;40;
35;45;14;
35;45;34;
35;45;15;
35;45;40;
35;48;36;
35;49;36;
35;49;15;
35;49;14;
35;1;49;
35;49;34;
35;49;44;
35;49;40;
35;49;41;
35;49;16;
35;49;29;
35;49;48;
35;49;30;
35;49;45;
35;24;14;
35;24;1;
35;24;36;
35;24;15;
35;24;34;
35;24;16;
35;24;40;
35;24;44;
35;24;29;
35;24;30;
35;24;41;
35;24;45;
35;24;48;
35;24;49;
35;50;36;
35;50;16;
35;50;14;
35;50;1;
35;50;40;
35;50;34;
35;50;41;
35;50;15;
35;50;44;
35;50;29;
35;50;45;
35;50;30;
35;50;48;
35;50;49;
35;50;24;
36;
36;1;
36;14;
36;15;
36;16;
36;24;
36;29;
36;30;
36;40;
36;41;
36;45;
36;48;
36;49;
36;50;
36;14;15;
36;1;15;
36;1;14;
36;14;16;
36;1;16;
36;1;40;
36;14;41;
36;1;41;
36;15;16;
36;15;40;
36;29;16;
36;29;40;
36;29;15;
36;29;14;
36;1;29;
36;41;16;
36;29;41;
36;30;14;
36;29;30;
36;1;30;
36;30;16;
36;30;41;
36;45;16;
36;29;45;
36;1;45;
36;45;41;
36;29;48;
36;1;48;
36;30;15;
36;30;48;
36;41;15;
36;45;14;
36;41;40;
36;45;40;
36;45;15;
36;45;30;
36;48;40;
36;48;15;
36;45;48;
36;48;14;
36;48;41;
36;49;16;
36;49;15;
36;49;14;
36;1;49;
36;49;41;
36;49;40;
36;49;29;
36;49;30;
36;49;48;
36;49;45;
36;24;14;
36;24;1;
36;24;16;
36;24;15;
36;24;29;
36;24;30;
36;24;40;
36;24;48;
36;24;45;
36;24;41;
36;24;49;
36;50;16;
36;50;14;
36;50;1;
36;50;40;
36;50;41;
36;50;15;
36;50;30;
36;50;29;
36;50;45;
36;50;48;
36;50;49;
36;50;24;
37;
37;1;
37;3;
37;10;
37;16;
37;24;
37;41;
37;48;
37;50;
37;14;
37;28;
37;35;
37;15;
37;25;
37;32;
37;42;
37;22;
37;34;
37;36;
37;11;
37;40;
37;20;
37;26;
37;31;
37;44;
37;19;
37;17;
37;43;
37;29;
37;46;
37;18;
37;39;
37;30;
37;45;
37;45;30;
37;49;
38;
38;49;
39;
39;1;
39;14;
39;15;
39;16;
39;18;
39;22;
39;24;
39;26;
39;29;
39;30;
39;31;
39;32;
39;34;
39;35;
39;36;
39;40;
39;41;
39;43;
39;44;
39;45;
39;48;
39;49;
39;50;
39;10;
39;14;41;
39;15;32;
39;29;14;
39;1;29;
39;29;40;
39;29;32;
39;29;30;
39;1;30;
39;30;41;
39;30;14;
39;45;30;
39;29;45;
39;45;48;
39;29;48;
39;45;15;
39;49;40;
39;49;15;
39;49;14;
39;1;49;
39;49;45;
39;49;30;
39;49;36;
39;49;48;
39;24;1;
39;24;32;
39;24;14;
39;24;29;
39;24;30;
39;24;41;
39;24;48;
39;24;45;
39;24;49;
39;50;32;
39;50;15;
39;50;35;
39;50;36;
39;50;41;
39;50;45;
39;50;48;
39;50;30;
39;50;49;
39;50;24;
40;
40;1;
40;14;
40;15;
40;24;
40;29;
40;30;
40;41;
40;45;
40;48;
40;49;
40;50;
40;14;15;
40;1;15;
40;1;14;
40;29;15;
40;29;14;
40;1;29;
40;14;41;
40;29;41;
40;1;41;
40;29;30;
40;1;30;
40;45;14;
40;29;45;
40;1;45;
40;30;14;
40;45;30;
40;30;41;
40;45;41;
40;41;15;
40;48;15;
40;48;41;
40;48;14;
40;45;15;
40;45;48;
40;29;48;
40;1;48;
40;30;15;
40;30;48;
40;49;15;
40;49;14;
40;1;49;
40;49;41;
40;49;30;
40;49;29;
40;49;45;
40;49;48;
40;24;41;
40;24;14;
40;24;1;
40;24;15;
40;24;29;
40;24;30;
40;24;48;
40;24;45;
40;24;49;
40;50;15;
40;50;14;
40;50;1;
40;50;29;
40;50;41;
40;50;30;
40;50;48;
40;50;45;
40;50;49;
40;50;24;
41;
41;1;
41;14;
41;24;
41;29;
41;30;
41;45;
41;48;
41;49;
41;50;
41;1;14;
41;29;14;
41;1;29;
41;30;14;
41;29;30;
41;1;30;
41;30;48;
41;29;48;
41;1;48;
41;45;14;
41;29;45;
41;1;45;
41;45;30;
41;45;48;
41;48;14;
41;49;14;
41;1;49;
41;49;30;
41;49;29;
41;49;48;
41;49;45;
41;24;14;
41;24;1;
41;24;30;
41;24;29;
41;24;45;
41;24;48;
41;24;49;
41;50;14;
41;50;1;
41;50;29;
41;50;30;
41;50;48;
41;50;45;
41;50;49;
41;50;24;
42;
42;10;
42;14;
42;15;
42;16;
42;18;
42;22;
42;26;
42;29;
42;30;
42;31;
42;32;
42;34;
42;35;
42;36;
42;40;
42;41;
42;43;
42;44;
42;45;
42;48;
42;49;
42;50;
42;1;
42;1;41;
42;39;
42;29;41;
42;1;29;
42;30;41;
42;30;14;
42;29;30;
42;1;30;
42;29;45;
42;45;30;
42;45;48;
42;45;16;
42;49;14;
42;49;29;
42;49;32;
42;49;48;
42;24;
42;24;1;
42;24;29;
42;24;36;
42;50;34;
42;50;41;
42;50;16;
42;50;45;
42;50;48;
42;50;49;
42;50;24;
43;
43;1;
43;14;
43;15;
43;16;
43;18;
43;22;
43;24;
43;26;
43;29;
43;30;
43;31;
43;32;
43;34;
43;35;
43;36;
43;41;
43;44;
43;45;
43;48;
43;49;
43;50;
43;40;
43;15;32;
43;14;15;
43;1;32;
43;1;15;
43;1;14;
43;1;41;
43;15;16;
43;1;16;
43;29;15;
43;29;30;
43;1;30;
43;41;15;
43;30;15;
43;30;41;
43;29;41;
43;29;40;
43;45;34;
43;29;45;
43;1;45;
43;41;31;
43;45;44;
43;45;15;
43;45;41;
43;45;36;
43;40;16;
43;45;16;
43;45;40;
43;29;16;
43;48;34;
43;48;40;
43;48;15;
43;48;41;
43;48;14;
43;45;48;
43;1;48;
43;48;32;
43;30;14;
43;14;16;
43;45;35;
43;49;34;
43;49;40;
43;49;15;
43;49;14;
43;1;49;
43;49;16;
43;49;36;
43;49;26;
43;49;29;
43;49;48;
43;49;41;
43;49;30;
43;49;45;
43;24;34;
43;24;1;
43;24;40;
43;24;15;
43;24;44;
43;24;16;
43;24;35;
43;24;30;
43;24;29;
43;24;41;
43;24;45;
43;24;48;
43;24;36;
43;24;49;
43;50;34;
43;50;15;
43;50;14;
43;50;1;
43;50;35;
43;50;36;
43;50;16;
43;50;41;
43;50;40;
43;50;45;
43;50;29;
43;50;30;
43;50;48;
43;50;49;
43;50;24;
44;
44;1;
44;14;
44;15;
44;16;
44;24;
44;29;
44;30;
44;36;
44;40;
44;41;
44;45;
44;48;
44;49;
44;50;
44;15;16;
44;14;16;
44;14;15;
44;1;16;
44;1;15;
44;1;14;
44;14;36;
44;14;40;
44;41;15;
44;14;41;
44;1;41;
44;41;16;
44;15;36;
44;40;16;
44;29;15;
44;29;14;
44;1;29;
44;41;36;
44;29;36;
44;29;16;
44;29;41;
44;30;16;
44;29;30;
44;1;30;
44;30;36;
44;30;41;
44;29;40;
44;45;36;
44;45;16;
44;29;45;
44;1;45;
44;45;40;
44;45;30;
44;45;15;
44;45;41;
44;41;40;
44;48;16;
44;45;48;
44;29;48;
44;1;48;
44;48;40;
44;48;15;
44;48;36;
44;30;15;
44;30;14;
44;48;14;
44;30;48;
44;45;14;
44;48;41;
44;49;15;
44;49;14;
44;1;49;
44;49;36;
44;49;40;
44;49;41;
44;49;16;
44;49;29;
44;49;30;
44;49;45;
44;49;48;
44;24;14;
44;24;1;
44;24;15;
44;24;16;
44;24;29;
44;24;36;
44;24;30;
44;24;41;
44;24;45;
